"quadrangular";"quadrangulaire";"B2";7
"quadrangularish";"quadrangulaire-ish";"C1";1
"quadrangularly";"quadrangulairement";"C1";2
"quadratic";"quadratique";"B1";6
"quaint";"pittoresque-vieux";"B2";5
"quaintest";"le plus pittoresque";"C1";3
"quaintish";"un peu pittoresque";"C1";2
"quaintly";"de manière pittoresque";"B2";4
"quakiest";"le plus tremblant";"B2";3
"quakiestish";"un peu le plus tremblant";"C1";1
"quakily";"tremblotant";"B2";4
"quaking";"tremblant";"B1";6
"qualifiable";"qualifiable";"B1";7
"qualifiableish";"un peu qualifiable";"C1";1
"qualifiably";"qualifiablement";"C1";2
"qualified";"qualifié";"A2";10
"quantifiable";"quantifiable";"B2";7
"quantifiableish";"un peu quantifiable";"C1";1
"quantifiably";"quantifiablement";"C1";2
"quantitative";"quantitatif";"B1";8
"quarantined";"mis en quarantaine";"B2";6
"quarrelled";"disputé";"B1";7
"quarrelledish";"un peu disputé";"C1";1
"quarrelsome";"querelleur";"B2";5
"quarrelsomeish";"un peu querelleur";"C1";2
"quarrelsomely";"de manière querelleuse";"B2";4
"quarrelsomest";"le plus querelleur";"C1";3
"quasi";"quasi";"B2";6
"quasi-public";"quasi-public";"C2";4
"quasi-publicish";"un peu quasi-public";"C2";1
"queenliest";"la plus reine";"C1";3
"queenly";"royal";"B2";6
"queenlyish";"un peu royal";"C1";2
"queenlyly";"de manière royale";"C1";3
"quenchable";"étanchable";"B2";5
"quenchableish";"un peu étanchable";"C1";1
"quenchably";"étanchablement";"C1";2
"quenchless";"inextinguible";"C1";4
"quick";"rapide";"A1";10
"quick-witted";"vif d'esprit";"B2";6
"quickest";"le plus rapide";"A2";9
"quickly";"rapidement";"A1";10
"quiet";"calme";"A1";10
"quietest";"le plus calme";"A2";9
"quietish";"un peu calme";"B1";7
"quietly";"tranquillement";"A2";8
"quizzical";"perplexe";"B2";5
"quizzicalish";"un peu perplexe";"C1";2
"quizzicallest";"le plus perplexe";"C1";3
"quizzically";"de manière perplexe";"B2";4