"daily";"quotidiennement";"A2";7;"Frequency"
"daringly";"audacieusement";"C1";3;"Manner"
"decidedly";"décidément";"B2";4;"Degree"
"deeply";"profondément";"B1";6;"Degree"
"definitely";"définitivement";"A2";8;"Degree"
"deftly";"adroitement";"C2";2;"Manner"
"deliberately";"délibérément";"B2";5;"Manner"
"detrimentally";"nuisiblement";"C2";1;"Degree"
"dexterously";"habilement";"C2";2;"Manner"
"diligently";"assidûment";"B2";4;"Manner"
"directly";"directement";"A2";8;"Place"
"disproportionately";"disproportionnellement";"C1";3;"Degree"
"distantly";"lointainement";"C1";3;"Place"
"distinctly";"distinctement";"B2";5;"Manner"
"doubly";"doublement";"B2";4;"Degree"
"doubtfully";"douteusement";"B2";4;"Manner"
"dramatically";"dramatiquement";"B1";6;"Manner"
"dully";"doucement";"C1";3;"Manner"
"dutifully";"consciencieusement";"B2";5;"Manner"
"dynamically";"dynamiquement";"B1";6;"Manner"