"generally;généralement-A1;B1;7;Adverb of Manner"
"gently;doucement-A1;A2;6;Adverb of Manner"
"genuinely;véritablement-A1;B2;5;Adverb of Manner"
"gladly;volontiers-A1;B2;4;Adverb of Manner"
"glaringly;évidemment-A1;C1;3;Adverb of Degree"
"gleefully;joyeusement-A1;B1;4;Adverb of Manner"
"globally;globalement-A1;B2;7;Adverb of Place"
"gracefully;gracieusement-A1;B1;3;Adverb of Manner"
"graphically;graphiquement-A1;C1;2;Adverb of Manner"
"gratefully;reconnaissamment-A1;B2;4;Adverb of Manner"
"gratuitously;gratuitement-A1;C1;2;Adverb of Reason"
"gravely;gravement-A1;C1;3;Adverb of Manner"
"greatly;grandement-A1;B2;6;Adverb of Degree"
"greedily;avidement-A1;B1;3;Adverb of Manner"
"grimly;froidement-A1;C1;2;Adverb of Manner"
"grudgingly;à contrecoeur-A1;B2;3;Adverb of Manner"
"gruffly;brusquement-A1;B1;4;Adverb of Manner"
"guiltily;coupablement-A1;C1;2;Adverb of Manner"
"gushingly;effusivement-A1;C2;1;Adverb of Manner"
"gutturally;gutturalement-A1;C2;1;Adverb of Manner"