"Jadedly";"Avec désenchantement";"B2";5;"Manner"
"Jaggedly";"De manière dentelée";"C1";3;"Manner"
"Jarringly";"De manière discordante";"B2";4;"Manner"
"Jauntily";"De manière désinvolte";"B1";6;"Manner"
"Jazzily";"De manière jazzy";"C1";2;"Manner"
"Jealously";"Jalousement";"A2";7;"Manner"
"Jejunely";"De manière naïve";"C2";1;"Manner"
"Jerkily";"Saccadé";"B2";4;"Manner"
"Jingoistically";"Chauvinistement";"C2";1;"Manner"
"Jocosely";"De manière enjouée";"B2";5;"Manner"
"Jointly";"Conjointement";"B1";8;"Degree"
"Jokingly";"En plaisantant";"A2";9;"Manner"
"Jollily";"Joyeusement";"A1";10;"Manner"
"Jovially";"De manière joviale";"B1";6;"Manner"
"Jubilantly";"De manière jubilatoire";"B2";5;"Manner"
"Jubilatorily";"De manière jubilatoire";"C1";3;"Manner"
"Jubingly";"De manière exultante";"C2";2;"Manner"
"Judiciously";"Judicieusement";"B2";7;"Manner"
"Jumbledly";"De manière désordonnée";"C1";4;"Manner"
"Justly";"Justement";"A2";10;"Degree"